country,iso3,Arrivals total,Departures total,Arrivals full-freight,Departures full-freight,Arrivals belly,Departures belly,Cargo-in full freight (tons),Cargo-out full freight (tons),Cargo-in belly (tons),Cargo-out belly (tons),Fashion_en_textiel_fraction_in,Industrie_en_materialen_fraction_in,Low_value_bulk_fraction_in,Machines_en_elektronica_fraction_in,Overig_fraction_in,Perishables_fraction_in,Pharma_fraction_in,Transport_fraction_in,Fashion_en_textiel_fraction_out,Industrie_en_materialen_fraction_out,Low_value_bulk_fraction_out,Machines_en_elektronica_fraction_out,Overig_fraction_out,Perishables_fraction_out,Pharma_fraction_out,Transport_fraction_out,Fashion_en_textiel_eur_per_ton_in,Fashion_en_textiel_eur_per_ton_out,Industrie_en_materialen_eur_per_ton_in,Industrie_en_materialen_eur_per_ton_out,Low_value_bulk_eur_per_ton_in,Low_value_bulk_eur_per_ton_out,Machines_en_elektronica_eur_per_ton_in,Machines_en_elektronica_eur_per_ton_out,Overig_eur_per_ton_in,Overig_eur_per_ton_out,Perishables_eur_per_ton_in,Perishables_eur_per_ton_out,Pharma_eur_per_ton_in,Pharma_eur_per_ton_out,Transport_eur_per_ton_in,Transport_eur_per_ton_out
Egypt,EGY,367,417,2,52,365,365,207.8,5720.0,4329.1,4329.1,0.26795096322241685,0.027145359019264455,0.1129597197898424,0.16112084063047288,0.017513134851138357,0.3826619964973731,0.010507880910683014,0.02014010507880911,0.028215223097112864,0.1515748031496063,0.05249343832020998,0.15485564304461943,0.05380577427821522,0.41863517060367456,0.12007874015748031,0.020341207349081368,30.029411764705884,30.906976744186046,29.35483870967742,26.05194805194805,3.2868217054263567,8.612499999999999,286.6902173913043,255.02966101694912,20.2,41.743902439024396,8.237986270022883,52.9576802507837,67.33333333333334,335.9071038251367,632.5217391304348,513.2258064516128
Estonia,EST,376,376,0,0,376,376,0.0,0.0,1266.9,1266.9,0.45454545454545453,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.1225071225071225,0.07692307692307693,0.07692307692307693,0.019943019943019943,0.022792022792022793,0.6438746438746439,0.014245014245014245,0.022792022792022793,38.6,26.186046511627907,,33.37037037037037,,9.592592592592593,147.16666666666666,154.42857142857142,,41.25,,17.57079646017699,,293.8,,137.625
Ethiopia,ETH,2,0,2,0,0,0,206.0,0.0,0.0,0.0,0.0011900576096070105,0.0011900576096070105,0.0003245611662564574,0.0016768993589916965,0.0001622805831282287,0.9945365537013496,0.0001622805831282287,0.0007573093879317339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.72727272727273,,11.522727272727273,,1.1666666666666667,,101.74193548387098,,13.166666666666666,,13.844660194174757,,25.333333333333332,,292.53571428571433,
Finland,FIN,2243,2244,0,0,2243,2244,0.0,0.0,12804.3,12812.7,0.10216110019646364,0.1591355599214145,0.04911591355599213,0.29273084479371314,0.20432220039292728,0.06777996070726915,0.11591355599214143,0.008840864440078583,0.08719346049046321,0.1226158038147139,0.04087193460490463,0.14032697547683926,0.05449591280653951,0.2452316076294278,0.24114441416893734,0.0681198910081744,41.36538461538461,79.234375,14.555555555555555,45.13333333333333,21.259999999999998,26.1,94.38926174496643,152.39805825242718,20.894230769230766,79.15,13.391304347826088,22.705555555555556,112.92372881355934,203.83050847457628,94.44444444444444,149.78
France,FRA,14757,14823,4,70,14753,14753,415.6,7272.999999999997,82200.50000000001,82185.20000000001,0.125,0.225,0.0,0.3,0.125,0.175,0.05,0.0,0.08571428571428572,0.13333333333333333,0.05714285714285714,0.23809523809523808,0.05714285714285714,0.24761904761904763,0.13333333333333333,0.047619047619047616,69.2,52.44444444444444,37.77777777777778,80.5,,9.0,185.75,40.8,52.6,50.0,9.285714285714286,38.92307692307692,175.0,289.99999999999994,,172.0
Gambia,GMB,148,147,0,0,148,147,0.0,0.0,1951.9,1906.8,0.004324012683770539,0.010665897953300663,0.0025944076102623237,0.04987027961948688,0.012107235514557509,0.9169789564716057,0.0014413375612568463,0.002017872585759585,0.07305194805194805,0.17337662337662335,0.029220779220779217,0.16201298701298697,0.033766233766233764,0.24155844155844153,0.22759740259740258,0.05941558441558441,18.2,29.115555555555556,15.486486486486488,24.941947565543074,1.8888888888888886,14.177777777777779,61.38728323699422,88.57915831663327,8.071428571428573,11.73076923076923,5.030807922037095,20.758064516129032,37.4,67.03138373751783,72.85714285714286,39.54098360655738
Georgia,GEO,113,195,0,104,113,91,0.0,10805.600000000002,609.8999999999997,482.2999999999999,0.08856088560885611,0.05166051660516607,0.014760147601476018,0.46125461254612554,0.09594095940959411,0.19188191881918823,0.05535055350553507,0.04059040590405905,0.04808743169398907,0.1519125683060109,0.021857923497267756,0.08306010928961749,0.0546448087431694,0.4546448087431694,0.16612021857923498,0.019672131147540982,27.208333333333332,43.04545454545454,14.57142857142857,40.92086330935252,22.5,12.850000000000001,61.888000000000005,127.6578947368421,14.576923076923077,27.88,8.326923076923077,58.67067307692307,12.933333333333334,128.80921052631578,43.45454545454545,75.0
Germany,DEU,20497,20713,67,281,20430,20432,8356.0,32217.0,93605.5,93613.3,0.1695906432748538,0.09941520467836257,0.10526315789473684,0.49707602339181284,0.04093567251461988,0.05847953216374269,0.029239766081871343,0.0,0.22134387351778656,0.10276679841897234,0.05928853754940711,0.09090909090909091,0.07905138339920949,0.36363636363636365,0.05533596837944664,0.02766798418972332,83.6896551724138,75.85714285714286,90.29411764705883,121.15384615384616,20.666666666666668,36.13333333333333,161.71764705882353,114.52173913043478,210.85714285714286,46.1,10.5,37.26086956521739,946.0,619.8571428571429,,181.85714285714286
Ghana,GHA,365,365,0,0,365,365,0.0,0.0,11015.0,11015.0,0.004324012683770539,0.010665897953300663,0.002594407610262323,0.04987027961948688,0.012107235514557507,0.9169789564716057,0.0014413375612568463,0.002017872585759585,0.07305194805194805,0.17337662337662335,0.02922077922077922,0.16201298701298703,0.033766233766233764,0.24155844155844156,0.2275974025974026,0.059415584415584415,18.200000000000003,29.115555555555556,15.486486486486486,24.941947565543074,1.888888888888889,14.177777777777775,61.387283236994215,88.57915831663327,8.071428571428573,11.730769230769232,5.030807922037095,20.75806451612903,37.4,67.03138373751783,72.85714285714285,39.540983606557376
Greece,GRC,2947,2921,0,0,2947,2921,0.0,0.0,26216.500000000004,25915.000000000004,0.2280130293159609,0.09011943539630836,0.15200868621064062,0.24538545059717698,0.04343105320304017,0.13137893593919653,0.08469055374592833,0.0249728555917481,0.11538461538461538,0.025083612040133773,0.07357859531772573,0.41806020066889626,0.10367892976588627,0.21237458193979933,0.02341137123745819,0.028428093645484948,34.58571428571429,190.6086956521739,98.26506024096386,170.8,6.5214285714285705,19.863636363636363,190.2699115044248,119.18799999999999,190.725,130.8709677419355,66.26446280991735,196.94488188976376,260.02564102564105,710.9285714285716,402.6086956521739,1303.1764705882351
Guatemala,GTM,0,52,0,52,0,0,0.0,5720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021734755484000806,0.16663312537733954,0.019319782652445164,0.025960957939223185,0.04226202455222379,0.41859529080297847,0.22439122559871202,0.08110283759307708,,55.870370370370374,,26.705314009661837,,19.031249999999996,,121.50387596899225,,25.166666666666668,,52.23413461538461,,164.8089686098655,,91.84367245657567
Hong Kong,HKG,1006,1006,276,276,730,730,25564.2,25084.2,19712.800000000003,19712.8,0.45380278904163784,0.04671150232420136,0.00493521906834141,0.34909504500049454,0.09599446147759866,0.017851844525764018,0.016951834635545445,0.014657303926416773,0.03825741378876675,0.11447040772694116,0.039037150690444444,0.061699826445657364,0.07012601554443242,0.44158261438237284,0.1775033327464346,0.057323238674950316,14.234482608316624,83.17028270874424,43.26720304890959,43.330037354427596,116.98797595190382,36.58569587628866,275.7590730090376,179.9033836119038,21.25963321656707,32.74748923959828,26.9601108033241,18.049043062200955,45.191365227537915,141.96358225875017,148.03306342780027,277.92496709082934
Hungary,HUN,1469,1469,0,0,1469,1469,0.0,0.0,11439.2,11439.2,0.33701657458563533,0.01657458563535912,0.19060773480662982,0.01657458563535912,0.1022099447513812,0.28729281767955805,0.03038674033149171,0.019337016574585635,0.017857142857142856,0.011904761904761906,0.05952380952380953,0.5595238095238095,0.1607142857142857,0.029761904761904764,0.125,0.03571428571428571,35.704918032786885,77.66666666666667,29.999999999999996,20.0,5.521739130434782,10.899999999999999,102.16666666666664,143.71276595744683,67.45945945945945,56.370370370370374,13.317307692307692,46.599999999999994,302.6363636363636,278.4761904761905,240.42857142857142,295.33333333333337
Iceland,ISL,696,695,0,0,696,695,0.0,0.0,8354.0,8571.900000000001,0.005208333333333333,0.15625,0.06770833333333333,0.3177083333333333,0.08333333333333333,0.3125,0.015625,0.041666666666666664,0.11526479750778819,0.07165109034267914,0.03738317757009346,0.31775700934579443,0.04672897196261683,0.20560747663551404,0.12772585669781933,0.07788161993769473,30.0,91.37837837837837,51.46666666666667,51.869565217391305,164.15384615384613,15.416666666666666,219.5409836065574,146.14705882352942,41.75,56.333333333333336,12.383333333333333,34.803030303030305,203.66666666666666,256.70731707317077,500.75000000000006,352.35999999999996
India,IND,928,890,122,91,806,799,12943.4,11045.4,25741.7,25667.1,0.32781698710148455,0.058286687758578724,0.033523971769286925,0.25906546605013386,0.02494524215137503,0.1202238987588221,0.14894134825991723,0.027196398150401556,0.05198119543317663,0.17958361316319676,0.04754869039623909,0.10745466756212223,0.060846205507051714,0.29805238415043656,0.21746138347884486,0.03707186030893217,26.76707498144024,34.61498708010336,35.4446764091858,30.79506357516829,89.17059891107078,16.305084745762713,168.82855800845468,131.30375,71.25121951219512,23.938189845474614,15.547064777327934,17.941415051825146,100.93709150326798,128.87893761581222,36.66666666666667,115.20652173913044
Indonesia,IDN,1110,1109,0,0,1110,1109,0.0,0.0,29111.1,29030.1,0.12160878034874327,0.03831900033258896,0.009027414833467952,0.6275241127001473,0.034256663657528386,0.10585831709982418,0.05014966503539696,0.013256045992302939,0.018879249195176518,0.15905494625416056,0.041305178152452666,0.1107655371855732,0.05047198122987942,0.35652316254706173,0.21651115840017462,0.04648878703552136,38.35710099628834,35.36705202312139,30.437073775573467,35.78353344768439,12.294736842105264,37.39894319682959,209.63672155971983,158.4009852216749,62.33841886269071,28.14486486486486,13.362432675044882,14.984848484848484,193.5461866414022,101.63155241935483,546.4910394265233,359.4107981220657
Iran,IRN,104,104,0,0,104,104,0.0,0.0,1404.0,1404.0,0.7913872220261208,0.03176844334627603,0.004588775150017649,0.05894811154253442,0.03423932227320861,0.04376985527709142,0.002117896223085069,0.033180374161666075,0.011450381679389313,0.12022900763358779,0.033396946564885496,0.04103053435114504,0.020038167938931296,0.49427480916030536,0.26717557251908397,0.012404580152671756,15.657894736842104,34.333333333333336,11.933333333333334,18.57936507936508,5.538461538461538,14.228571428571428,48.06586826347305,98.6046511627907,18.31958762886598,18.285714285714285,3.153225806451613,35.02895752895753,9.166666666666666,106.81785714285714,315.78723404255317,257.53846153846155
Ireland,IRL,5142,5146,0,0,5142,5146,0.0,0.0,39867.0,39901.9,0.0,0.3333333333333333,0.18181818181818182,0.0,0.21212121212121213,0.06060606060606061,0.12121212121212122,0.09090909090909091,0.05825242718446602,0.11650485436893204,0.08737864077669903,0.08737864077669903,0.11650485436893204,0.39805825242718446,0.10679611650485436,0.02912621359223301,,54.833333333333336,11.090909090909092,54.0,18.166666666666668,11.777777777777779,,151.22222222222223,50.142857142857146,58.083333333333336,9.5,19.317073170731707,519.5,522.8181818181819,255.0,283.6666666666667
Israel,ISR,17,17,0,0,17,17,0.0,0.0,147.89999999999998,147.89999999999998,0.07384189530245053,0.10632581616868841,0.018969307172514858,0.4281527314174061,0.027517707400472192,0.2664658471057559,0.05772205487258813,0.021004640560123748,0.06234183570998194,0.11524402490459933,0.051897971480216916,0.2209680658766821,0.05242016469170517,0.3730467965454911,0.056919060052219334,0.06716208073910425,30.6361631753032,43.83827319587629,20.7947932618683,37.4513767863367,18.65665236051502,19.30417956656347,176.16657159155733,149.82094164697327,89.69526627218936,57.67739463601533,13.46929422548121,39.07892753311081,25.651622002820872,873.5624558927311,353.5465116279069,254.51854066985643
Italy,ITA,16476,16697,0,242,16476,16455,0.0,32652.6,98387.0,97740.30000000002,0.2280130293159609,0.09011943539630836,0.15200868621064062,0.245385450597177,0.04343105320304018,0.13137893593919653,0.08469055374592833,0.0249728555917481,0.11538461538461538,0.02508361204013378,0.07357859531772575,0.4180602006688963,0.10367892976588627,0.21237458193979933,0.023411371237458192,0.028428093645484948,34.58571428571429,190.6086956521739,98.26506024096386,170.79999999999998,6.521428571428571,19.863636363636363,190.26991150442478,119.188,190.72499999999997,130.8709677419355,66.26446280991736,196.9448818897638,260.02564102564105,710.9285714285714,402.60869565217394,1303.1764705882354
Jamaica,JAM,26,26,0,0,26,26,0.0,0.0,1045.2,1045.2,0.012731902510003638,0.01345943979628956,0.0036376864314296106,0.11458712259003274,0.010185522008002912,0.8279374317933794,0.0043652237177155325,0.013095671153146598,0.02953280077463084,0.1319293149358509,0.04526748971193416,0.01694504962478819,0.05591866376180102,0.5541031227305737,0.12127814088598401,0.04502541757443718,32.82857142857143,24.721311475409838,14.405405405405405,24.03119266055046,2.5,5.737967914438502,92.89206349206349,53.942857142857136,11.178571428571429,17.402597402597404,1.1014938488576451,12.747487986020097,35.16666666666667,98.54091816367267,2603.277777777778,242.24193548387098
Japan,JPN,972,972,157,157,815,815,21980.0,21980.0,30735.5,30735.5,0.04438322620140801,0.0900290786654423,0.07273492500765227,0.5624426078971533,0.044268441995714725,0.061830425466789095,0.09014386287113559,0.03416743189470462,0.04759548782901246,0.1205224619038195,0.06659410251335839,0.05991490203839303,0.0632297644963388,0.44552740945972685,0.14803087274886204,0.04858499901048881,30.923275862068966,88.47297297297297,42.4177645558861,38.25779967159277,34.04260915307733,22.909361069836553,197.00054421768706,141.15441783649877,98.73379429559205,15.625195618153365,17.5,10.729372570794002,160.8590831918506,259.0220588235294,153.12765957446808,216.19246435845216
Jordan,JOR,241,241,0,0,241,241,0.0,0.0,1235.2,1235.2000000000005,0.07384189530245056,0.10632581616868846,0.01896930717251486,0.42815273141740623,0.027517707400472203,0.26646584710575594,0.057722054872588135,0.02100464056012375,0.06234183570998193,0.11524402490459934,0.051897971480216916,0.22096806587668208,0.05242016469170517,0.3730467965454911,0.056919060052219334,0.06716208073910425,30.6361631753032,43.83827319587628,20.7947932618683,37.4513767863367,18.656652360515018,19.304179566563466,176.16657159155733,149.8209416469733,89.69526627218934,57.67739463601532,13.46929422548121,39.0789275331108,25.651622002820876,873.562455892731,353.546511627907,254.51854066985643
